BJDONG_NM,CENTER_LONG,CENTER_LATI
자곡동,127.10035102126302,37.476268479930354
율현동,127.11207067721938,37.47081185783545
일원동,127.08286049104916,37.488008106820445
수서동,127.09671869070247,37.48587602939197
도곡동,127.04527689043202,37.48859587613891
,127.11529503972388,37.50561924154445
잠실동,127.08339049764068,37.5119628280698
신천동,127.09897863081738,37.5239235994725
풍납동,127.1139970165966,37.53320666327234
송파동,127.11354718758948,37.50510761154363
석촌동,127.10251312460892,37.502726254178654
삼전동,127.09188803768618,37.50190204743216
가락동,127.11840441939488,37.49568677990765
문정동,127.12255946532606,37.48558503611152
장지동,127.13206416792964,37.47687259462157
방이동,127.12538894253488,37.51567462461493
오금동,127.13402013341098,37.50400505475779
거여동,127.14497969053632,37.489726894027825
마천동,127.15275251791014,37.49848696830423
,127.14701184176552,37.5504502432305
명일동,127.15081019495686,37.54905366226175
고덕동,127.15823011188463,37.56382203459346
상일동,127.1696399453634,37.55110315997119
길동,127.14592904185352,37.53961619000997
둔촌동,127.14472693241336,37.5282635714739
